"GID","GNAME","othername","BREEDER","GERMPLASMTYPE","IR NUMBER","IR CROSS","PARENTAGE","FEMALE PARENT","MALE PARENT","SELECTION HISTORY","SOURCE","Biotic","Abiotic","Grain Quality","Major Genes"
11,"QM21-aaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
12,"QM21-aaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
13,"QM21-Aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
14,"QM21-AaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
15,"QM21-AaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
16,"QM21-AAbb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
17,"QM21-AABb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
18,"QM21-AABB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W08-16-03-02","W04-28-58-03-19-01","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
19,"QM22-aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
20,"QM22-aaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
21,"QM22-aaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
22,"QM22-Aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
23,"QM22-AaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
24,"QM22-AaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
25,"QM22-AAbb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
26,"QM22-AABb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
27,"QM22-AABB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W04-28-58-03-19-01/W23-03-08-09-27-82","W04-28-58-03-19-01","W23-03-08-09-27-82","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
28,"QM23-aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
29,"QM23-aaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
30,"QM23-aaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
31,"QM23-Aabb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
32,"QM23-AaBb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
33,"QM23-AaBB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
34,"QM23-AAbb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
35,"QM23-AABb","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
36,"QM23-AABB","UNKNOWN","秦茂","Pyramided line","UNKNOWN","UNKNOWN","W32-59-80-02-11-01-8/W08-16-03-02","W32-59-80-02-11-01-8","W08-16-03-02","F2","广东省植物分子育种重点实验室","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
