"Env","ENTRIES","Rep","Yield","Yield_resid_fixed","Yield_resid_random"
"A","T27","1",3686.132878,211.565425840984,273.351931706978
"A","T27","2",3689.996208,8.53278501840623,86.7812162200175
"A","T27","3",3492.599848,-220.09821085939,-139.364558502137
"A","T28","1",3457.662412,-166.638918825684,-77.499022036644
"A","T28","2",3366.734075,-464.463226648261,-358.861404523605
"A","T28","3",4493.534083,631.102145473942,739.18918875424
"A","T3","1",993.4087462,-188.900814025684,-545.8640712248
"A","T3","2",1243.478261,-145.727270048261,-486.22860191176
"A","T3","3",1755.068251,334.628084073942,-3.38802663391471
"A","T4","1",1784.23913,-682.787737159017,-805.058785520217
"A","T4","2",3082.237951,408.315113018406,302.505989992823
"A","T4","3",2979.630098,274.47262414061,171.148722270668
"A","T5","1",3198.30637,-10.9769851590167,2.34741129310214
"A","T5","2",2842.736771,-573.442554981594,-543.656233193858
"A","T5","3",4031.833502,584.41954014061,616.691083083987
"A","T6","1",3482.374874,277.040513174317,289.64350718422
"A","T6","2",3059.401331,-352.829000648261,-323.76408130274
"A","T6","3",3519.253455,75.788487473943,107.338627975105
"A","T7","1",2593.528817,-397.821159825683,-424.308841614068
"A","T7","2",3772.497472,574.251524351739,564.225767898972
"A","T7","3",3053.050219,-176.430364526057,-183.970899823183
"A","T8","1",2015.23003,-406.274564159017,-536.861623166322
"A","T8","2",2908.998989,280.598424018406,166.473290346718
"A","T8","3",2785.311341,125.67614014061,14.0362276245637
"A","T9","1",4031.888271,228.888268840984,350.672846031916
"A","T9","2",3946.253581,-63.6423919815938,74.6041105449563
"A","T9","3",3875.884732,-165.24587685939,-24.5141531771988
"B","T1","1",3286.653185,238.20238923751,17.6610940461078
"B","T1","2",3079.103472,76.1123729025835,-152.857247510832
"B","T1","3",2830.788675,-314.314762140071,-516.936450408035
"B","T10","1",6047.002444,476.44177290417,697.438594518976
"B","T10","2",5351.017442,-174.083532430756,38.4849639620379
"B","T10","3",5364.855072,-302.358240473411,-63.4418119351658
"B","T11","1",5499.595551,860.968791904171,918.814773614377
"B","T11","2",3442.650404,-1150.51665843076,-1101.09900194256
"B","T11","3",5024.827267,289.547866526589,365.313455160234
"B","T12","1",4674.140546,121.094760904169,163.958341385959
"B","T12","2",4602.199191,94.6131025692421,129.04835782902
"B","T12","3",4433.990563,-215.707863473412,-154.924676068184
"B","T13","1",4745.845972,-702.764215762496,-503.116894929249
"B","T13","2",4796.549545,-606.600946097423,-415.381950486189
"B","T13","3",6854.627991,1309.36516185992,1526.93208961661
"B","T14","1",2184.024267,206.905344237503,-201.190768571171
"B","T14","2",1762.209302,-169.449924097424,-585.974362128111
"B","T14","3",2036.316144,-37.4554201400783,-427.631926025314
"B","T15","1",3411.747978,-917.198689095831,-913.567460664752
"B","T15","2",4471.351534,187.864563569243,183.06746677831
"B","T15","3",5154.933434,729.334125526588,750.884960881105
"B","T16","1",3878.686384,647.906355570836,459.284885450393
"B","T16","2",3666.022076,480.70174423591,283.651948893454
"B","T16","3",2198.82457,-1128.60809980675,-1299.30996300375
"B","T17","1",3275.467644,-77.3660860958303,-244.619985314549
"B","T17","2",3657.398045,350.024011569243,174.341787128511
"B","T17","3",3176.828446,-272.657925473412,-421.992217768692
"B","T18","1",2744.173407,-243.181725429164,-474.418852866829
"B","T18","2",2850.91633,-90.9791057640905,-330.644558423769
"B","T18","3",3418.168605,334.160831193255,120.843310679028
"B","T19","1",3162.563195,204.95752890417,-31.4877472621756
"B","T19","2",2840.849343,-71.2966264307574,-316.170227819115
"B","T19","3",2920.597405,-133.660902473412,-352.186571716319
"B","T2","1",3141.27275,96.6747519041701,-124.541040874667
"B","T2","2",2802.77216,-196.366141430757,-426.010259431607
"B","T2","3",3240.942029,99.6913895265884,-103.604796328811
"B","T20","1",4506.837715,258.352512904169,247.897597000687
"B","T20","2",3325.834176,-877.191329430757,-896.074570556253
"B","T20","3",4963.97666,618.838816526589,626.303507546545
"B","T21","1",5411.40883,480.485559237503,589.503003607824
"B","T21","2",4240.01938,-645.444194097424,-544.855074949116
"B","T21","3",5192.534547,164.958634859922,291.895686153681
"B","T22","1",5089.069346,362.323274237503,435.596036418151
"B","T22","2",4812.335693,131.049317902576,195.893754861211
"B","T22","3",4330.026121,-493.372592140078,-402.180223035993
"B","T23","1",5195.652174,-405.84041509583,-179.428436529894
"B","T23","2",6654.541625,1098.50873256924,1316.49238591317
"B","T23","3",5005.476913,-692.668317473411,-448.336731984036
"B","T24","1",4138.502696,-989.651222762497,-846.105207790994
"B","T24","2",5726.074317,643.380094902576,778.497784652067
"B","T24","3",5571.077688,346.271127859923,507.736749754864
"B","T25","1",2896.524267,-751.868951095831,-867.380148296669
"B","T25","2",3683.645096,80.7115745692431,-43.2279478536079
"B","T25","3",4416.203236,671.157376526588,573.565786249188
"B","T26","1",5659.50455,325.307068237503,504.92450407644
"B","T26","2",4164.292636,-1124.44514909742,-953.256038480499
"B","T26","3",6229.988204,799.138080859922,996.675123622298
"B","T27","1",3702.557297,-1182.92866342916,-1081.86579099622
"B","T27","2",6926.390293,2086.36402923591,2178.99857644684
"B","T27","3",4078.703236,-903.435365806745,-784.452886450368
"B","T28","1",5636.480452,218.743199570837,412.985689369291
"B","T28","2",5090.394338,-281.88321776409,-96.069053187648
"B","T28","3",5577.529912,63.1400181932559,275.302114915148
"B","T3","1",2121.777048,-89.0080360958304,-456.196923630341
"B","T3","2",2373.053589,207.728201569243,-167.88901118728
"B","T3","3",2188.71756,-118.720165473412,-467.989446084484
"B","T4","1",4742.14695,169.071813904169,215.44187204099
"B","T4","2",3840.769296,-686.846143430758,-648.90441051595
"B","T4","3",5187.502107,517.774329526588,582.063994586847
"B","T5","1",4806.976744,-557.946217762498,-372.949765446186
"B","T5","2",5137.917088,-181.546177097424,-4.97805000312383
"B","T5","3",6201.067998,739.492394859922,942.408454099673
"B","T6","1",5444.301904,562.990334570836,663.322409048072
"B","T6","2",4682.971014,-152.880858764091,-60.9771095088672
"B","T6","3",4567.854735,-410.109475806745,-291.857794406071
"B","T7","1",4471.656977,-167.504834429164,-109.565182731791
"B","T7","2",4267.018453,-326.68366176409,-277.17233528873
"B","T7","3",5230.002949,494.188496193256,570.047754814067
"B","T8","1",4677.831143,-250.218855429163,-141.704426120771
"B","T8","2",3736.429896,-1146.16040576409,-1046.07430167771
"B","T8","3",6421.081901,1396.37926119325,1522.81329742508
"B","T9","1",4851.268116,384.997693237503,412.66977455244
"B","T9","2",4227.831143,-192.979583097424,-173.735827004499
"B","T9","3",4370.904954,-192.018110140079,-146.426421901703
"C","T1","1",3025.362319,785.972082000018,679.599430370219
"C","T1","2",1990.267947,-249.122289999982,-355.494941629781
"C","T1","3",1702.540445,-536.849791999982,-643.222443629781
"C","T10","1",4221.534799,662.577238333333,709.915068289538
"C","T10","2",3346.979272,-211.978288666667,-164.640458710462
"C","T10","3",3108.358611,-450.598949666667,-403.261119710462
"C","T11","1",3483.316481,71.3782156666666,101.590427033495
"C","T11","2",3251.150152,-160.788113333333,-130.575901966505
"C","T11","3",3501.348163,89.4098976666669,119.622109033495
"C","T12","2",557.7982811,86.8701553646459,-355.900715701743
"C","T12","3",384.057971,-86.8701547353541,-529.641025801743
"C","T13","1",3627.612066,998.849062,937.832698343258
"C","T13","2",2237.676946,-391.086058,-452.102421656742
"C","T13","3",2021,-607.763004,-668.779367656742
"C","T14","1",4259.925851,219.094062333333,322.563260747451
"C","T14","2",3785.793731,-255.038057666667,-151.568859252549
"C","T14","3",4076.775784,35.9439953333326,139.413193747451
"C","T15","1",1281.386923,-73.9453429999999,-283.297944220186
"C","T15","2",1137.681159,-217.651107,-427.003708220186
"C","T15","3",1646.928716,291.59645,82.2438487798136
"C","T16","1",3393.459302,43.2367146666666,66.2599433899836
"C","T16","2",3788.780755,438.558167666667,461.581396389984
"C","T16","3",2868.427705,-481.794882333334,-458.771653610017
"C","T17","1",5119.392484,705.054151333334,852.031452535436
"C","T17","2",3709.622514,-704.715818666666,-557.738517464564
"C","T17","3",4414,-0.338332666666247,146.638968535436
"C","T18","1",4338.075076,480.215706333333,562.371267968925
"C","T18","2",3942.719919,84.8605493333334,167.016110968925
"C","T18","3",3292.783114,-565.076255666667,-482.920694031075
"C","T19","1",3895.782777,-230.358948666668,-116.952378157048
"C","T19","2",3140.588136,-985.553589666668,-872.147019157048
"C","T19","3",5342.054264,1215.91253833333,1329.31910884295
"C","T2","1",3194,-0.0271316666662642,4.80158868904891
"C","T2","2",4150.404449,956.377317333333,961.206037689049
"C","T2","3",2237.676946,-956.350185666666,-951.521465310951
"C","T20","1",2950.286485,-147.792382666667,-154.14024542442
"C","T20","2",3282.204247,184.125379333333,177.77751657558
"C","T20","3",3061.745871,-36.332996666667,-42.6808594244203
"C","T21","1",1626.30182,104.844961333333,-85.1565308649087
"C","T21","2",1568.503539,47.0466803333334,-142.954811864909
"C","T21","3",1369.565217,-151.891641666667,-341.893133864909
"C","T22","1",3919.468318,-187.009886666666,-75.8938315618911
"C","T22","2",4056.399562,-50.0786426666659,61.0374124381087
"C","T22","3",4343.566734,237.088529333334,348.204584438109
"C","T23","1",3337.272497,494.256263,458.197297555532
"C","T23","2",1992.100607,-850.915627,-886.974592444468
"C","T23","3",3199.675598,356.659364,320.600398555532
"C","T24","1",3121.378918,219.403718666666,190.212618766198
"C","T24","2",2117.155376,-784.819823333333,-814.010923233802
"C","T24","3",3467.391304,565.416104666667,536.225004766198
"C","T25","1",2862.89181,-406.246489333333,-392.668405798141
"C","T25","2",3058.088979,-211.049320333333,-197.471236798141
"C","T25","3",3886.434109,617.295809666667,630.873893201859
"C","T26","1",1938.865015,-600.356701666667,-671.803328449045
"C","T26","2",2483.147961,-56.0737556666668,-127.520382449045
"C","T26","3",3195.652174,656.430457333333,584.983830550955
"C","T27","1",1675.564543,-969.716885666667,-1028.80909209019
"C","T27","2",3245.028648,599.747219333333,540.655012909812
"C","T27","3",3015.251095,369.969666333333,310.877459909812
"C","T28","1",1790.899899,-1530.173576,-1510.54579668969
"C","T28","2",3745.78699,424.713515,444.341294310314
"C","T28","3",4426.533536,1105.460061,1125.08784031031
"C","T3","1",4165.689248,-1239.14939366667,-976.793152127969
"C","T3","2",5577.498315,172.659673333334,435.015914872031
"C","T3","3",6471.328362,1066.48972033333,1328.84596187203
"C","T4","1",5819,-200.089624666667,133.817960042034
"C","T4","2",5936.771149,-82.3184756666669,251.589109042035
"C","T4","3",6301.497725,282.408100333333,616.315685042035
"C","T5","1",1593.200202,-392.090776333333,-528.062311415128
"C","T5","2",2158.358611,173.067632666667,37.096097584872
"C","T5","3",2204.314122,219.023143666667,83.0516085848722
"C","T6","1",4599.785137,604.627289333333,702.776135127978
"C","T6","2",4746.376812,751.218964333334,849.367810127978
"C","T6","3",2639.311594,-1355.84625366667,-1257.69740787202
"C","T7","1",2246.172481,-458.396528,-510.582589991433
"C","T7","2",2825.564543,120.995534,68.8094720085664
"C","T7","3",3041.970003,337.400994,285.214932008566
"C","T8","1",1862.318841,495.759605833333,287.714783918082
"C","T8","2",1372.048787,5.48955183333305,-202.555270081918
"C","T8","3",865.3100775,-501.249157666667,-709.293979581918
"C","T9","1",3754.006572,-0.511880999999903,69.6059605560795
"C","T9","2",3045.338305,-709.180147999999,-639.06230644392
"C","T9","3",4464.210482,709.692029000001,779.80987055608
